id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1404015881412395011,1403996031285596160,2021-06-13 12:00:46 Hora de verano romance,2021-06-13,12:00:46,+0200,252606004,davcarmon,DavidCarbonell 🎗,,@Penya1930 @Conormorgan09 @PedreroLourdes,und,[],[],[],0,0,0,[],[],https://twitter.com/davcarmon/status/1404015881412395011,False,,0,,,,,,,,"[{'screen_name': 'Penya1930', 'name': 'Club Joventut Badalona', 'id': '249090832'}, {'screen_name': 'Conormorgan09', 'name': 'Conor Morgan', 'id': '577541351'}]",,,,
1404015780442918920,1403996031285596160,2021-06-13 12:00:22 Hora de verano romance,2021-06-13,12:00:22,+0200,3761637387,guillemmj,William Méndez,,@Penya1930 @Conormorgan09 @alejandronascar,und,[],[],[],0,0,0,[],[],https://twitter.com/Guillemmj/status/1404015780442918920,False,,0,,,,,,,,"[{'screen_name': 'Penya1930', 'name': 'Club Joventut Badalona', 'id': '249090832'}, {'screen_name': 'Conormorgan09', 'name': 'Conor Morgan', 'id': '577541351'}]",,,,
1404015550012051463,1403996031285596160,2021-06-13 11:59:27 Hora de verano romance,2021-06-13,11:59:27,+0200,632759212,f_ayra19,Ferran Ayra Barberà,,@Penya1930 @Conormorgan09 @j_ortega_,und,[],[],[],0,0,0,[],[],https://twitter.com/f_ayra19/status/1404015550012051463,False,,0,,,,,,,,"[{'screen_name': 'Penya1930', 'name': 'Club Joventut Badalona', 'id': '249090832'}, {'screen_name': 'Conormorgan09', 'name': 'Conor Morgan', 'id': '577541351'}]",,,,
1404015444726517761,1403996031285596160,2021-06-13 11:59:02 Hora de verano romance,2021-06-13,11:59:02,+0200,632759212,f_ayra19,Ferran Ayra Barberà,,@Penya1930 @Conormorgan09 @Fernandezgotze,und,[],[],[],0,0,0,[],[],https://twitter.com/f_ayra19/status/1404015444726517761,False,,0,,,,,,,,"[{'screen_name': 'Penya1930', 'name': 'Club Joventut Badalona', 'id': '249090832'}, {'screen_name': 'Conormorgan09', 'name': 'Conor Morgan', 'id': '577541351'}]",,,,
1404015315894296581,1403996031285596160,2021-06-13 11:58:31 Hora de verano romance,2021-06-13,11:58:31,+0200,632759212,f_ayra19,Ferran Ayra Barberà,,@Penya1930 @Conormorgan09 @Pepe_Reis,und,[],[],[],0,0,0,[],[],https://twitter.com/f_ayra19/status/1404015315894296581,False,,0,,,,,,,,"[{'screen_name': 'Penya1930', 'name': 'Club Joventut Badalona', 'id': '249090832'}, {'screen_name': 'Conormorgan09', 'name': 'Conor Morgan', 'id': '577541351'}]",,,,
1404015196377686026,1403996031285596160,2021-06-13 11:58:02 Hora de verano romance,2021-06-13,11:58:02,+0200,632759212,f_ayra19,Ferran Ayra Barberà,,@Penya1930 @Conormorgan09 @maxcaneda23,und,[],[],[],0,0,0,[],[],https://twitter.com/f_ayra19/status/1404015196377686026,False,,0,,,,,,,,"[{'screen_name': 'Penya1930', 'name': 'Club Joventut Badalona', 'id': '249090832'}, {'screen_name': 'Conormorgan09', 'name': 'Conor Morgan', 'id': '577541351'}]",,,,
1404015175993278465,1403996031285596160,2021-06-13 11:57:57 Hora de verano romance,2021-06-13,11:57:57,+0200,721108287526199297,fanclubgsuton,Goran Suton FanClub,,@Penya1930 @Conormorgan09 @alorentedediego,und,[],[],[],0,0,0,[],[],https://twitter.com/FanclubGSuton/status/1404015175993278465,False,,0,,,,,,,,"[{'screen_name': 'Penya1930', 'name': 'Club Joventut Badalona', 'id': '249090832'}, {'screen_name': 'Conormorgan09', 'name': 'Conor Morgan', 'id': '577541351'}]",,,,
1404014974465359874,1403996031285596160,2021-06-13 11:57:09 Hora de verano romance,2021-06-13,11:57:09,+0200,270975750,chabyerr,Xavier Mateu,,@Penya1930 @Conormorgan09 @ihlingrid,und,[],[],[],0,0,0,[],[],https://twitter.com/chabyerr/status/1404014974465359874,False,,0,,,,,,,,"[{'screen_name': 'Penya1930', 'name': 'Club Joventut Badalona', 'id': '249090832'}, {'screen_name': 'Conormorgan09', 'name': 'Conor Morgan', 'id': '577541351'}]",,,,
1404013963948527620,1403996031285596160,2021-06-13 11:53:08 Hora de verano romance,2021-06-13,11:53:08,+0200,771626839,15jba,JB 🎗,,@Penya1930 @Conormorgan09 @DanielGomez_77 aviam si tenim sort 😉,tr,[],[],[],0,0,0,[],[],https://twitter.com/15jba/status/1404013963948527620,False,,0,,,,,,,,"[{'screen_name': 'Penya1930', 'name': 'Club Joventut Badalona', 'id': '249090832'}, {'screen_name': 'Conormorgan09', 'name': 'Conor Morgan', 'id': '577541351'}]",,,,
1404013325999017988,1403996031285596160,2021-06-13 11:50:36 Hora de verano romance,2021-06-13,11:50:36,+0200,216294124,badix15,Dolores Gonzalez,,@Penya1930 @Conormorgan09 @badix1968,und,[],[],[],1,0,0,[],[],https://twitter.com/badix15/status/1404013325999017988,False,,0,,,,,,,,"[{'screen_name': 'Penya1930', 'name': 'Club Joventut Badalona', 'id': '249090832'}, {'screen_name': 'Conormorgan09', 'name': 'Conor Morgan', 'id': '577541351'}]",,,,
1404013186110603264,1403996031285596160,2021-06-13 11:50:03 Hora de verano romance,2021-06-13,11:50:03,+0200,1174215692041805829,bernabeucarles,Carles Bernabeu,,@SergiTeodoro10 @Penya1930 @Conormorgan09 @Maset32Marc @dkvvictor,und,[],[],[],0,0,0,[],[],https://twitter.com/BernabeuCarles/status/1404013186110603264,False,,0,,,,,,,,"[{'screen_name': 'SergiTeodoro10', 'name': 'Sergi Teodoro', 'id': '280108419'}, {'screen_name': 'Penya1930', 'name': 'Club Joventut Badalona', 'id': '249090832'}, {'screen_name': 'Conormorgan09', 'name': 'Conor Morgan', 'id': '577541351'}, {'screen_name': 'Maset32Marc', 'name': 'Marc Maset Lopez', 'id': '768038816'}]",,,,
1404013030157979650,1403996031285596160,2021-06-13 11:49:26 Hora de verano romance,2021-06-13,11:49:26,+0200,2953134299,8293d379ff2b406,Joaquin Mirón,,@Penya1930 @Conormorgan09 @badix15,und,[],[],[],0,0,0,[],[],https://twitter.com/8293d379ff2b406/status/1404013030157979650,False,,0,,,,,,,,"[{'screen_name': 'Penya1930', 'name': 'Club Joventut Badalona', 'id': '249090832'}, {'screen_name': 'Conormorgan09', 'name': 'Conor Morgan', 'id': '577541351'}]",,,,
1404012990962282497,1404012990962282497,2021-06-13 11:49:17 Hora de verano romance,2021-06-13,11:49:17,+0200,753267946542301184,car10sbatlle,Carlos Batlle,,#FEBInfantilM2021 @EstuCantera 77 - @Penya1930 57 Enorme partido ante un enorme rival. Vamoooooooooos  https://t.co/UJhLewn4fq,es,"[{'screen_name': 'estucantera', 'name': 'estucantera', 'id': '4784685675'}, {'screen_name': 'penya1930', 'name': 'club joventut badalona', 'id': '249090832'}]",[],['https://pbs.twimg.com/media/E3wOXeoWEAAE4Ej.jpg'],1,4,10,['febinfantilm2021'],[],https://twitter.com/Car10sBatlle/status/1404012990962282497,False,,1,https://pbs.twimg.com/media/E3wOXeoWEAAE4Ej.jpg,,,,,,,[],,,,
1404012180148670465,1403996031285596160,2021-06-13 11:46:03 Hora de verano romance,2021-06-13,11:46:03,+0200,1161777733,rousming,@_la_RouS_,,@Penya1930 @Conormorgan09 @Penya1930,und,[],[],[],0,0,0,[],[],https://twitter.com/rousming/status/1404012180148670465,False,,0,,,,,,,,"[{'screen_name': 'Penya1930', 'name': 'Club Joventut Badalona', 'id': '249090832'}, {'screen_name': 'Conormorgan09', 'name': 'Conor Morgan', 'id': '577541351'}]",,,,
1404012114612740096,1403996031285596160,2021-06-13 11:45:48 Hora de verano romance,2021-06-13,11:45:48,+0200,1161777733,rousming,@_la_RouS_,,@Penya1930 @Conormorgan09 @InigoManrique,und,[],[],[],0,0,1,[],[],https://twitter.com/rousming/status/1404012114612740096,False,,0,,,,,,,,"[{'screen_name': 'Penya1930', 'name': 'Club Joventut Badalona', 'id': '249090832'}, {'screen_name': 'Conormorgan09', 'name': 'Conor Morgan', 'id': '577541351'}]",,,,
1404012029569011714,1403996031285596160,2021-06-13 11:45:27 Hora de verano romance,2021-06-13,11:45:27,+0200,1174215692041805829,bernabeucarles,Carles Bernabeu,,@SergiTeodoro10 @Penya1930 @Conormorgan09 @Maset32Marc,und,[],[],[],0,0,0,[],[],https://twitter.com/BernabeuCarles/status/1404012029569011714,False,,0,,,,,,,,"[{'screen_name': 'SergiTeodoro10', 'name': 'Sergi Teodoro', 'id': '280108419'}, {'screen_name': 'Penya1930', 'name': 'Club Joventut Badalona', 'id': '249090832'}, {'screen_name': 'Conormorgan09', 'name': 'Conor Morgan', 'id': '577541351'}]",,,,
1404011865643130883,1403996031285596160,2021-06-13 11:44:48 Hora de verano romance,2021-06-13,11:44:48,+0200,280108419,sergiteodoro10,Sergi Teodoro,,@Penya1930 @Conormorgan09 @bustosip,und,[],[],[],0,0,0,[],[],https://twitter.com/SergiTeodoro10/status/1404011865643130883,False,,0,,,,,,,,"[{'screen_name': 'Penya1930', 'name': 'Club Joventut Badalona', 'id': '249090832'}, {'screen_name': 'Conormorgan09', 'name': 'Conor Morgan', 'id': '577541351'}]",,,,
1404011833246224385,1403996031285596160,2021-06-13 11:44:40 Hora de verano romance,2021-06-13,11:44:40,+0200,280108419,sergiteodoro10,Sergi Teodoro,,@Penya1930 @Conormorgan09 @Maset32Marc,und,[],[],[],1,0,0,[],[],https://twitter.com/SergiTeodoro10/status/1404011833246224385,False,,0,,,,,,,,"[{'screen_name': 'Penya1930', 'name': 'Club Joventut Badalona', 'id': '249090832'}, {'screen_name': 'Conormorgan09', 'name': 'Conor Morgan', 'id': '577541351'}]",,,,
1404011794851581963,1403996031285596160,2021-06-13 11:44:31 Hora de verano romance,2021-06-13,11:44:31,+0200,280108419,sergiteodoro10,Sergi Teodoro,,@Penya1930 @Conormorgan09 @BernabeuCarles,und,[],[],[],1,0,1,[],[],https://twitter.com/SergiTeodoro10/status/1404011794851581963,False,,0,,,,,,,,"[{'screen_name': 'Penya1930', 'name': 'Club Joventut Badalona', 'id': '249090832'}, {'screen_name': 'Conormorgan09', 'name': 'Conor Morgan', 'id': '577541351'}]",,,,
1404011699833872386,1403996031285596160,2021-06-13 11:44:09 Hora de verano romance,2021-06-13,11:44:09,+0200,237958273,alexquip,Alex Quirós,,@Penya1930 @Conormorgan09 @FGonzalez_C,und,[],[],[],0,0,0,[],[],https://twitter.com/AlexQuiP/status/1404011699833872386,False,,0,,,,,,,,"[{'screen_name': 'Penya1930', 'name': 'Club Joventut Badalona', 'id': '249090832'}, {'screen_name': 'Conormorgan09', 'name': 'Conor Morgan', 'id': '577541351'}]",,,,
